Institution,Name,URL
BIG,BIG,https://geoservices.big.go.id/gis/rest/services
BIG,BIG Batas Desa,https://geoservices.big.go.id/rbi/rest/services/BATASWILAYAH/Administrasi_AR_KelDesa_10K/MapServer
BIG,BIG CTSRT,https://geoservices.big.go.id/raster/rest/services/IMAGERY
BIG,BIG PTRA Hidrogeologi,https://geoservices.big.go.id/gis/rest/services/PTRA/Atlas_Hidrogeologi/MapServer
BIG,KSP (Satu Peta),https://kspservices.big.go.id/satupeta/rest/services/PUBLIK
BKPM,Geoportal BKPM,https://regionalinvestment.bkpm.go.id/gis/rest/services
BMKG,BMKG GIS,https://gis.bmkg.go.id/arcgis/rest/services
BMKG,BMKG Data Cuaca,https://datacuaca.bmkg.go.id/arcgis/rest/services
BMKG,BMKG Nowcasting,https://datacuaca.bmkg.go.id/arcgis/rest/services/production/nowcasting_public/MapServer
ATR/BPN,GISTARU,https://gistaru.atrbpn.go.id/arcgis/rest/services
BPS,SP2020 Online,https://geoportal.bps.go.id/server/rest/services/Peta_SP2020_Online_MIL1/MapServer
Kabupaten Bogor,Geoportal Kabupaten Bogor,https://geoportal.bogorkab.go.id/server/rest/services
Kota Depok,Geoportal Kota Depok,http://idsd.depok.go.id/arcgis/rest/services/
ESDM,Data Migas,https://datamigas.esdm.go.id/arcgis/rest/services/
ESDM,Geoportal Geologi,https://geoportal.esdm.go.id/geologi/
ESDM,GeoService 4,https://geoportal.esdm.go.id/gis4/rest/services
ESDM,GeoService 5,https://geoportal.esdm.go.id/gis5/rest/services
KLHK,Geoportal KLHK,https://geoportal.menlhk.go.id/server/rest/services
KLHK,SIGAP,https://sigap.menlhk.go.id/server/rest/services
KLHK,SIPPEG,https://sippeg.menlhk.go.id/arcgis/rest/services
KLHK,PKG,https://pkgppkl.menlhk.go.id/arcgis/rest/services
KLHK,Gakkum,https://peta.gakkum.menlhk.go.id/arcgis/rest/services/Hosted
KLHK,DBGIS,https://dbgis.menlhk.go.id/server/rest/services
KLHK,DUNE KALKS,https://geoportal.menlhk.go.id/server/rest/services/dunekalks/
DKI Jakarta,JAKARTASATU,https://jakartasatu.jakarta.go.id/server/rest/services
Jawa Barat,Jabar Satupeta,https://satupeta.jabarprov.go.id/arcgis/rest/services
Jawa Barat,SIKLHS / PPK DAS Citarum,https://arcgis.jabarprov.go.id/arcgis/rest/services/program/SIKLHS_Data_Geospasial/MapServer
Kota Semarang,Geoportal Kota Semarang,http://geoportal.data.semarangkota.go.id/
Kota Tangerang,Geoportal Kota Tangerang,https://maps.tangerangkota.go.id/arcgis/rest/services/
